1,Bulbasaur,Grass,318,45,49,49,65,65,45,1,False
2,Ivysaur,Grass,405,60,62,63,80,80,60,1,False
3,Venusaur,Grass,525,80,82,83,100,100,80,1,False
4,Charmander,Fire,309,39,52,43,60,50,65,1,False
5,Charmeleon,Fire,405,58,64,58,80,65,80,1,False
6,Charizard,Fire,534,78,84,78,109,85,100,1,False
7,Squirtle,Water,314,44,48,65,50,64,43,1,False
8,Wartortle,Water,405,59,63,80,65,80,58,1,False
9,Blastoise,Water,530,79,83,100,85,105,78,1,False
10,Caterpie,Bug,195,45,30,35,20,20,45,1,False
11,Metapod,Bug,205,50,20,55,25,25,30,1,False
12,Butterfree,Bug,395,60,45,50,90,80,70,1,False
13,Weedle,Bug,195,40,35,30,20,20,50,1,False
14,Kakuna,Bug,205,45,25,50,25,25,35,1,False
15,Beedrill,Bug,395,65,90,40,45,80,75,1,False
16,Pidgey,Normal,251,40,45,40,35,35,56,1,False
17,Pidgeotto,Normal,349,63,60,55,50,50,71,1,False
18,Pidgeot,Normal,479,83,80,75,70,70,101,1,False
19,Rattata,Normal,253,30,56,35,25,35,72,1,False
20,Raticate,Normal,413,55,81,60,50,70,97,1,False
21,Spearow,Normal,262,40,60,30,31,31,70,1,False
22,Fearow,Normal,442,65,90,65,61,61,100,1,False
23,Ekans,Poison,288,35,60,44,40,54,55,1,False
24,Arbok,Poison,438,60,85,69,65,79,80,1,False
25,Pikachu,Electric,320,35,55,40,50,50,90,1,False
26,Raichu,Electric,485,60,90,55,90,80,110,1,False
27,Sandshrew,Ground,300,50,75,85,20,30,40,1,False
28,Sandslash,Ground,450,75,100,110,45,55,65,1,False
29,Nidoran♀,Poison,275,55,47,52,40,40,41,1,False
30,Nidorina,Poison,365,70,62,67,55,55,56,1,False
31,Nidoqueen,Poison,505,90,92,87,75,85,76,1,False
32,Nidoran♂,Poison,273,46,57,40,40,40,50,1,False
33,Nidorino,Poison,365,61,72,57,55,55,65,1,False
34,Nidoking,Poison,505,81,102,77,85,75,85,1,False
35,Clefairy,Fairy,323,70,45,48,60,65,35,1,False
36,Clefable,Fairy,483,95,70,73,95,90,60,1,False
37,Vulpix,Fire,299,38,41,40,50,65,65,1,False
38,Ninetales,Fire,505,73,76,75,81,100,100,1,False
39,Jigglypuff,Normal,270,115,45,20,45,25,20,1,False
40,Wigglytuff,Normal,435,140,70,45,85,50,45,1,False
41,Zubat,Poison,245,40,45,35,30,40,55,1,False
42,Golbat,Poison,455,75,80,70,65,75,90,1,False
43,Oddish,Grass,320,45,50,55,75,65,30,1,False
44,Gloom,Grass,395,60,65,70,85,75,40,1,False
45,Vileplume,Grass,490,75,80,85,110,90,50,1,False
46,Paras,Bug,285,35,70,55,45,55,25,1,False
47,Parasect,Bug,405,60,95,80,60,80,30,1,False
